380,1739554827.609590
1212,1739554827.609596
2401,1739554827.609602
3423,1739554827.609608
4020,1739554827.609614
4010,1739554827.609620
3395,1739554827.609626
2301,1739554827.609632
1178,1739554827.609638
359,1739554827.609644
0,1739554827.609650
274,1739554827.609656
1151,1739554827.609662
2207,1739554827.609668
3322,1739554827.609674
3981,1739554827.609680
4043,1739554827.609686
3491,1739554827.609692
2432,1739554827.609698
1300,1739554827.609704
437,1739554827.609710
10,1739554827.609716
241,1739554827.609722
1034,1739554827.609728
2075,1739554827.609734
3216,1739554827.609740
3933,1739554827.609746
4069,1739554827.609752
3623,1739554827.609758
2622,1739554827.609764
1485,1739554827.609770
522,1739554827.609776
28,1739554827.609782
183,1739554827.609788
921,1739554827.609794
2007,1739554827.609800
3105,1739554827.609806
3878,1739554827.609812
4091,1739554827.609818
3666,1739554827.609824
2747,1739554827.609830
1551,1739554827.609836
613,1739554827.609842
54,1739554827.609848
110,1739554827.609854
814,1739554827.609860
1812,1739554827.609866
2933,1739554827.609872
3815,1739554827.609878
4094,1739554827.609884
3743,1739554827.609890
2870,1739554827.609896
1680,1739554827.609902
710,1739554827.609908
89,1739554827.609914
89,1739554827.609920
711,1739554827.609926
1681,1739554827.609931
2815,1739554827.609962
1810,1739554827.609968
864,1739554827.609973
208,1739554827.609979
2,1739554827.609984
297,1739554827.609989
1020,1739554827.609994
2059,1739554827.610000
2983,1739554827.610005
3777,1739554827.610011
4086,1739554827.610016
1562,1739554827.610036
716,1739554827.610041
182,1739554827.610046
11,1739554827.610051
294,1739554827.610056
962,1739554827.610061
1864,1739554827.610066
2805,1739554827.610071
3624,1739554827.610076
4045,1739554827.610081
4034,1739554827.610086
3636,1739554827.610091
2822,1739554827.610096
1882,1739554827.610101
923,1739554827.610106
271,1739554827.610111
7,1739554827.610116
201,1739554827.610121
751,1739554827.610126
1607,1739554827.610131
2558,1739554827.610136
3446,1739554827.610141
3971,1739554827.610146
4073,1739554827.610152
3716,1739554827.610157
3056,1739554827.610161
2078,1739554827.610167
1149,1739554827.610172
415,1739554827.610177
32,1739554827.610182
104,1739554827.610187
605,1739554827.610192
1479,1739554827.610197
2366,1739554827.610202
3347,1739554827.610207
